Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Defending Att,Aerial Att,Pass Retention Att,Pass Progression Att,Discipline Att,CB Rating,"Defensive duels won, %",PAdj Interceptions,PAdj Sliding tackles,Successful defensive actions per 90,Shots blocked per 90,"Aerial duels won, %",Aerial duels per 90,"Accurate short / medium passes, %",Short / medium passes per 90,Received passes per 90,Progressive passes per 90,"Accurate progressive passes, %",Fouls per 90,Yellow cards per 90,Red cards per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
R. Tafazolli,Swindon Town,Swindon Town,LCB,"LCB, CB",England League Two 2025-26,34.0,175000,30/06/2026,no,1676,75.34,79.97,48.0,48.14,80.78,100.0,81.25,10.53,0.08,9.61,1.4,69.23,8.38,80.69,29.75,17.08,8.38,51.92,0.43,0.16,0.0,0.0,0.0,0.0,0.0
A. O'Connor,Harrogate Town,Harrogate Town,RCB,"RCB, CB",England League Two 2025-26,33.0,200000,30/06/2027,no,2373,75.27,84.09,53.51,56.07,64.64,99.45,70.16,9.86,0.68,10.96,1.82,67.44,9.79,85.66,28.03,15.02,8.0,59.72,0.68,0.27,0.0,0.04,0.04,100.0,0.0
C. Forino-Joseph,Bolton Wanderers,Bolton Wanderers,RCB,"RCB, LCB, CB",England League One 2025-26,25.0,0,30/06/2027,no,2150,61.63,85.22,80.57,44.28,74.17,96.2,77.48,8.89,0.51,9.04,0.67,71.71,8.58,92.5,43.53,31.44,5.02,60.83,0.59,0.17,0.0,0.0,0.0,0.0,0.0
S. Negru,Tranmere Rovers,Tranmere Rovers,RCB,"RCB, LCB, CB",England League Two 2025-26,23.0,0,31/05/2026,no,1359,75.1,68.56,46.68,53.81,89.52,95.75,76.06,9.94,0.44,11.32,1.32,63.64,8.01,81.22,27.15,15.83,8.01,57.85,0.46,0.0,0.0,0.0,0.0,0.0,0.0
S. Lavelle,Grimsby Town,Grimsby Town,RCB,RCB,England League Two 2025-26,29.0,275000,30/06/2027,no,555,80.48,49.92,64.47,67.19,94.76,95.32,78.13,11.32,0.57,10.86,0.97,54.35,7.46,89.5,32.43,20.59,8.92,65.45,0.32,0.0,0.0,0.0,0.0,0.0,0.0
J. Sanders,Milton Keynes Dons,Milton Keynes Dons,RCB,"RCB, LCB",England League Two 2025-26,27.0,175000,31/05/2026,no,2886,78.65,76.92,57.7,45.88,50.52,93.23,77.39,10.27,0.75,12.13,0.72,58.31,11.44,85.07,32.99,19.65,7.73,52.42,1.09,0.25,0.0,0.0,0.0,0.0,0.0
B. Faulkner,Harrogate Town,Harrogate Town,LCB,"LCB, RCB",England League Two 2025-26,21.0,0,30/06/2026,yes,1113,77.03,73.69,53.57,17.15,70.43,92.24,75.0,8.17,1.46,11.0,0.81,58.21,10.84,83.59,31.54,17.39,6.55,33.33,0.97,0.0,0.0,0.0,0.0,0.0,0.0
J. Feeney,Huddersfield Town,Huddersfield Town,RCB,"RCB, CB",England League One 2025-26,20.0,500000,30/06/2027,yes,1987,66.36,73.28,70.75,56.67,64.95,89.09,82.09,7.5,0.53,10.51,0.68,69.48,6.98,90.21,36.55,26.59,6.7,64.86,0.82,0.18,0.0,0.0,0.0,0.0,0.0
L. Ness,Notts County,Notts County,CB,"CB, RCB",England League Two 2025-26,24.0,0,30/06/2027,no,1009,58.4,82.08,75.13,39.14,69.06,88.34,80.7,8.24,0.15,9.19,0.71,69.39,8.74,89.35,42.73,30.95,6.69,50.67,0.71,0.18,0.0,0.0,0.0,0.0,0.0
P. Bauer,AFC Wimbledon,AFC Wimbledon,CB,"CB, RCB",England League One 2025-26,33.0,300000,30/06/2026,no,1144,58.12,94.8,39.92,59.91,58.69,87.65,72.83,8.22,0.69,11.33,0.39,73.6,9.83,79.31,22.81,12.98,8.26,61.9,1.02,0.16,0.0,0.08,0.0,0.0,0.0
J. Turnbull,Tranmere Rovers,Tranmere Rovers,LCB,"LCB, CB",England League Two 2025-26,31.0,275000,30/06/2027,no,837,60.15,89.79,48.38,61.61,54.82,86.94,78.26,7.94,0.53,9.03,0.75,71.11,9.68,83.7,24.41,14.95,8.06,64.0,0.86,0.32,0.0,0.11,0.0,0.0,0.0
D. Okagbue,Peterborough United,Peterborough United,LCB,"LCB, RCB",England League One 2025-26,22.0,125000,30/06/2029,no,2193,46.7,77.56,83.01,50.72,93.42,86.23,74.71,8.05,0.06,8.08,0.82,73.72,6.4,91.14,48.63,34.6,7.72,56.38,0.29,0.04,0.0,0.0,0.0,0.0,0.0
J. Mazionis,Cheltenham Town,Cheltenham Town,LCB,"LCB, RCB",England League Two 2025-26,19.0,0,31/05/2026,no,499,85.84,94.9,26.85,0.0,6.07,85.41,77.14,9.81,1.12,11.9,1.08,75.0,9.38,75.27,16.77,5.59,5.23,24.14,1.8,0.54,0.0,0.0,0.0,0.0,0.0
