Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Shot Stopping Att,Aerial Att,Sweeping Att,Short Dist Att,Long Dist Att,GK Rating,Prevented goals per 90,"Save rate, %",Shots against per 90,"Aerial duels won, %",Aerial duels per 90,Exits per 90,PAdj Interceptions,"Accurate short / medium passes, %",Short / medium passes per 90,"Average pass length, m","Accurate long passes, %",Long passes per 90,"Average long pass length, m"
A. Bass,Peterborough United,Peterborough United,GK,GK,England League One 2025-26,28.0,275000,30/06/2028,no,3393,86.75,84.35,98.58,84.44,51.76,100.0,0.193,74.12,4.51,89.47,0.5,2.39,3.85,97.08,28.2,31.17,56.03,14.96,49.37
J. Chapman,Crawley Town,Crawley Town,GK,GK,England League Two 2025-26,25.0,100000,30/06/2027,yes,1694,84.8,86.55,71.66,71.4,74.07,97.29,0.167,74.29,3.72,100.0,0.32,1.91,3.17,97.97,18.33,36.95,58.72,18.28,50.3
G. Smith,Bromley,Bromley,GK,GK,England League Two 2025-26,32.0,0,30/06/2026,no,4005,100.0,84.15,26.77,15.09,71.07,87.68,0.274,77.91,3.87,90.48,0.47,1.26,1.75,95.5,2.49,50.14,66.67,12.74,54.39
M. Hudson,Oldham Athletic,Oldham Athletic,GK,GK,England League Two 2025-26,27.0,0,30/06/2028,no,4207,80.7,81.15,57.59,50.95,82.04,87.61,0.083,76.16,3.23,84.0,0.53,1.63,2.87,98.43,6.82,45.32,68.06,14.33,54.9
J. Smith,Grimsby Town,Grimsby Town,GK,GK,England League Two 2025-26,24.0,200000,30/06/2028,yes,2133,81.07,78.95,54.32,58.89,72.46,85.79,0.132,73.85,2.74,78.57,0.59,1.56,2.81,97.78,13.29,36.74,67.45,12.57,52.34
J. Whitworth,Exeter City,Exeter City,GK,GK,England League One 2025-26,22.0,1000000,30/06/2027,yes,3894,62.88,81.32,53.85,100.0,79.31,84.51,0.055,66.88,3.63,88.89,0.42,1.64,2.63,98.99,27.37,29.49,68.88,13.22,49.74
M. Young,Salford City,Salford City,GK,GK,England League Two 2025-26,19.0,0,30/06/2028,no,4077,68.14,86.87,91.34,28.24,75.56,84.48,0.051,70.25,3.49,100.0,0.33,1.96,4.24,95.89,6.98,47.43,63.52,15.67,55.95
S. Waller,Harrogate Town,Harrogate Town,GK,GK,England League Two 2025-26,22.0,0,30/06/2026,no,528,86.96,87.2,23.4,62.06,39.08,83.9,0.159,76.0,4.26,100.0,0.34,1.36,1.36,98.53,11.59,37.6,63.04,7.84,52.78
H. Gray,Harrogate Town,Harrogate Town,GK,GK,England League Two 2025-26,21.0,0,30/06/2026,yes,1677,71.57,87.12,59.28,55.67,62.27,83.67,0.075,71.08,4.45,84.62,0.7,2.15,1.98,97.75,11.91,35.9,70.78,8.26,49.95
L. McGee,Tranmere Rovers,Tranmere Rovers,GK,GK,England League Two 2025-26,30.0,200000,30/06/2027,no,499,66.14,87.84,45.23,59.26,86.27,83.19,0.097,66.67,2.16,100.0,0.36,1.44,2.5,98.36,11.0,43.52,69.14,14.61,56.04
C. Slicker,Barnet,Barnet,GK,GK,England League Two 2025-26,23.0,300000,30/06/2028,yes,3906,61.62,86.71,81.31,50.18,78.41,83.09,-0.003,69.12,3.13,91.3,0.53,1.27,4.96,97.53,10.28,42.6,60.95,17.88,52.84
J. Gauci,Port Vale,Port Vale,GK,GK,England League One 2025-26,25.0,1500000,30/06/2028,yes,2701,65.55,92.37,75.69,55.74,32.91,81.15,0.024,70.09,3.57,100.0,0.5,2.13,2.99,97.76,11.9,34.76,58.04,9.53,48.2
C. Ripley,Swindon Town,Swindon Town,GK,GK,England League Two 2025-26,33.0,225000,30/06/2027,no,4314,58.75,86.42,61.94,60.03,86.97,81.14,-0.05,69.82,3.53,86.67,0.63,2.07,2.29,97.34,15.69,39.21,65.56,16.96,53.26
W. Stanway,Barrow,Barrow,GK,GK,England League Two 2025-26,24.0,0,30/06/2026,no,3825,46.72,100.0,100.0,17.66,80.08,80.21,-0.163,68.42,4.47,88.37,1.01,2.87,3.02,94.18,9.29,39.38,70.53,12.38,50.89
M. Aidan Cox,Shrewsbury Town,Shrewsbury Town,GK,GK,England League Two 2025-26,22.0,800000,30/06/2028,yes,1601,74.86,84.23,55.21,19.47,68.62,78.41,0.063,73.68,4.27,88.89,0.51,1.74,2.52,95.19,5.85,44.84,65.37,12.99,54.76
C. MacGillivray,Milton Keynes Dons,Milton Keynes Dons,GK,GK,England League Two 2025-26,33.0,225000,30/06/2026,no,4159,66.62,88.45,48.81,62.74,43.94,78.1,-0.011,72.54,3.07,92.31,0.56,1.73,2.16,99.26,8.81,39.29,60.89,10.24,52.91
T. Sharman-Lowe,Chelsea,Bolton Wanderers,GK,GK,England League One 2025-26,22.0,300000,30/06/2028,no,2177,48.66,83.83,94.47,95.9,38.75,77.23,-0.026,62.5,2.32,90.91,0.45,1.49,5.32,98.88,25.92,28.21,61.01,9.01,53.26
O. Wright,Accrington Stanley,Accrington Stanley,GK,GK,England League Two 2025-26,23.0,0,30/06/2026,no,3880,66.54,88.81,42.18,48.07,49.72,75.75,-0.003,72.08,3.57,100.0,0.39,1.86,1.52,97.9,7.72,41.12,60.59,11.71,52.13
J. Day,Cheltenham Town,Cheltenham Town,GK,GK,England League Two 2025-26,35.0,100000,30/06/2027,no,4043,54.26,96.05,47.34,55.48,51.75,75.27,-0.057,67.48,4.59,96.77,0.69,1.8,1.94,98.08,10.42,39.65,63.58,10.33,54.24
G. Morris,Gillingham,Gillingham,GK,GK,England League Two 2025-26,42.0,50000,30/06/2026,no,2595,56.85,77.76,55.67,61.51,83.33,73.8,-0.047,68.52,3.75,88.89,0.31,1.46,3.08,99.19,8.53,39.07,68.43,14.39,49.28
R. Fitzsimons,Northampton Town,Northampton Town,GK,GK,England League One 2025-26,31.0,0,30/06/2027,no,2574,66.5,77.76,54.19,44.27,66.75,73.56,0.059,68.85,4.27,88.89,0.31,1.64,2.65,98.04,5.35,47.53,60.22,15.73,54.25
J. Bonham,Bolton Wanderers,Bolton Wanderers,GK,GK,England League One 2025-26,32.0,500000,30/06/2027,no,1708,50.52,86.55,53.27,75.45,56.84,72.78,-0.095,67.19,3.37,100.0,0.32,1.69,2.5,97.93,20.39,32.77,61.22,12.91,52.18
B. Collins,Burton Albion,Burton Albion,GK,GK,England League One 2025-26,29.0,1200000,30/06/2026,yes,3601,71.59,81.7,28.44,43.28,56.67,72.72,0.105,69.54,3.77,100.0,0.17,1.27,1.83,96.8,10.15,40.43,63.54,11.45,54.22
F. Marschall,Stevenage,Stevenage,GK,GK,England League One 2025-26,22.0,800000,,no,3792,57.97,91.46,51.01,40.39,50.36,72.69,0.008,66.35,2.47,95.83,0.57,1.83,2.1,97.38,6.34,43.67,57.51,13.74,52.41
