Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Goal Threat Att,Creativity Att,Dribbling Att,Aerial Att,Defending Att,ST Rating,Non-penalty goals per 90,xG per 90,"Shots on target, %",Touches in box per 90,Key passes per 90,xA per 90,Deep completions per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,"Aerial duels won, %",Aerial duels per 90,Head goals per 90,"Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
N. Méndez-Laing,Milton Keynes Dons,Milton Keynes Dons,CF,"CF, LWF",England League Two 2025-26,33.0,400000,30/06/2026,no,1584,70.03,100.0,100.0,21.91,58.43,100.0,0.23,0.34,65.52,3.52,0.97,0.2,1.08,71.88,5.45,0.68,21.74,2.61,0.0,61.9,4.49,3.58,0.0,0.0,0.0,0.11
A. Sidibeh,Stockport County,Stockport County,CF,"CF, RWF",England League One 2025-26,27.0,0,30/06/2028,no,721,98.62,64.03,20.31,78.95,56.94,91.49,0.62,0.39,50.0,6.12,0.5,0.13,1.0,28.57,0.87,0.0,36.49,9.24,0.37,62.96,4.24,3.37,0.0,0.0,0.0,0.0
A. Cook,Grimsby Town,Grimsby Town,CF,CF,England League Two 2025-26,35.0,150000,30/06/2026,yes,1201,87.53,53.1,38.17,79.05,49.79,85.72,0.52,0.52,48.57,4.12,0.3,0.13,0.97,50.0,0.9,0.22,43.68,13.04,0.15,70.83,3.07,1.8,0.0,0.0,0.0,0.0
J. Kenny,Bolton Wanderers,Bolton Wanderers,CF,"CF, AMF, RAMF",England League One 2025-26,22.0,175000,31/05/2029,yes,619,77.55,80.81,47.88,42.78,57.76,84.55,0.15,0.6,36.84,4.65,0.58,0.26,0.73,64.29,2.04,0.0,26.47,4.94,0.15,71.43,4.07,2.04,0.0,0.0,0.0,0.0
R. Oné,Lincoln City,Lincoln City,CF,"CF, RAMF, LAMF",England League One 2025-26,19.0,0,,yes,465,100.0,34.47,52.96,51.64,45.43,84.01,0.97,0.31,57.14,4.84,0.19,0.1,0.58,55.56,1.74,0.39,27.5,7.74,0.19,43.48,5.03,4.45,0.0,0.0,0.0,0.0
S. Lavery,Cambridge United,Cambridge United,CF,"CF, AMF",England League Two 2025-26,27.0,450000,30/06/2026,no,1026,94.9,43.89,58.43,31.41,56.04,82.6,0.53,0.49,51.85,5.09,0.26,0.04,1.23,30.56,3.16,0.61,20.37,9.47,0.0,54.24,3.95,5.18,0.0,0.0,0.0,0.0
L. Nordås,Heerenveen,Luton Town,CF,"CF, AMF",England League One 2025-26,24.0,1200000,30/06/2026,yes,486,80.93,56.94,68.11,49.81,30.77,82.4,0.19,0.44,50.0,5.37,0.56,0.07,0.93,81.82,2.04,0.37,31.25,11.85,0.0,47.06,3.15,3.15,0.0,0.0,0.0,0.0
K. N’Mai,Salford City,Salford City,CF,"CF, LWB, LW",England League Two 2025-26,21.0,0,30/06/2026,no,2133,54.07,81.39,93.21,7.43,65.57,78.13,0.21,0.23,26.83,4.98,0.55,0.12,1.73,50.33,6.46,0.55,11.9,1.77,0.0,50.38,5.99,5.53,0.0,0.0,0.0,0.04
A. Adomah,Walsall,Walsall,CF,"CF, RWF",England League Two 2025-26,38.0,150000,30/06/2026,no,1299,55.25,66.05,83.54,30.82,72.04,77.34,0.35,0.23,52.38,2.77,0.48,0.21,0.62,43.28,4.64,0.83,23.53,3.53,0.07,61.76,5.68,4.71,0.14,0.07,0.0,0.76
R. Oates,Mansfield Town,Mansfield Town,CF,"CF, LAMF",England League One 2025-26,31.0,125000,30/06/2027,no,1877,68.16,57.41,77.21,32.54,42.18,75.18,0.34,0.38,40.0,4.12,0.43,0.16,0.67,51.79,5.37,0.29,22.66,6.14,0.05,50.62,3.64,3.88,0.0,0.0,0.0,0.0
L. Tolaj,Plymouth Argyle,Plymouth Argyle,CF,CF,England League One 2025-26,24.0,0,30/06/2029,no,2486,76.52,50.65,52.65,53.76,43.17,75.07,0.36,0.54,41.77,3.69,0.36,0.09,0.98,63.64,1.99,0.18,40.43,5.1,0.04,55.17,3.66,3.15,0.11,0.11,33.33,0.07
F. Holman,Swindon Town,Swindon Town,CF,"CF, RAMF, AMF",England League Two 2025-26,21.0,0,30/06/2027,no,1033,81.17,49.41,67.66,20.07,37.84,72.9,0.44,0.45,57.14,3.66,0.44,0.11,0.61,61.9,3.66,0.26,19.05,3.66,0.0,58.62,2.7,2.53,0.09,0.0,0.0,0.09
T. Walton,Accrington Stanley,Accrington Stanley,CF,CF,England League Two 2025-26,27.0,0,30/06/2026,no,979,69.0,26.36,52.63,82.92,50.96,70.85,0.37,0.36,50.0,3.59,0.09,0.07,0.64,66.67,2.48,0.0,38.12,18.57,0.18,51.11,4.78,4.14,0.0,0.0,0.0,0.0
A. Jatta,Notts County,Notts County,CF,CF,England League Two 2025-26,27.0,325000,30/06/2027,no,2387,82.39,40.36,38.59,49.21,53.43,70.61,0.53,0.43,63.64,3.13,0.3,0.08,0.72,57.89,0.72,0.15,30.91,8.29,0.08,66.67,3.81,2.49,0.0,0.0,0.0,0.0
D. Ballard,Leyton Orient,Leyton Orient,CF,CF,England League One 2025-26,21.0,300000,30/06/2028,no,3432,78.31,45.73,51.05,41.41,42.74,70.43,0.55,0.44,45.0,3.65,0.45,0.07,0.68,52.08,2.52,0.18,22.41,6.08,0.18,60.61,3.07,2.6,0.0,0.0,0.0,0.0
A. Drinan,Swindon Town,Swindon Town,CF,"CF, AMF",England League Two 2025-26,27.0,175000,30/06/2028,no,3489,77.41,40.85,44.52,51.84,50.21,69.91,0.46,0.43,54.12,3.43,0.31,0.1,0.59,50.0,1.65,0.23,33.99,6.53,0.1,66.67,3.35,2.4,0.0,0.0,0.0,0.0
A. Connolly,Leyton Orient,Leyton Orient,CF,"CF, LAMF, AMF",England League One 2025-26,26.0,2500000,30/06/2027,no,1660,68.87,47.24,83.23,13.44,46.6,69.75,0.38,0.42,34.33,4.07,0.43,0.1,0.6,51.4,5.8,0.38,13.7,3.96,0.0,63.27,3.14,2.66,0.33,0.16,33.33,1.95
Y. Salech,Cardiff City,Cardiff City,CF,CF,England League One 2025-26,24.0,1800000,30/06/2030,no,2313,85.75,34.68,28.81,88.87,6.18,69.36,0.43,0.61,37.14,4.32,0.23,0.05,0.82,45.45,0.86,0.0,51.98,8.83,0.23,37.25,2.1,1.98,0.0,0.0,0.0,0.0
R. Hepburn-Murphy,Milton Keynes Dons,Milton Keynes Dons,CF,"CF, RWF, LW",England League Two 2025-26,27.0,175000,30/06/2026,no,1879,65.84,30.18,82.48,32.3,62.18,69.33,0.34,0.31,52.78,3.54,0.24,0.06,0.53,56.7,4.65,0.57,27.08,4.6,0.0,56.07,4.69,5.13,0.1,0.1,0.0,0.0
M. Fondop-Talum,Oldham Athletic,Oldham Athletic,CF,CF,England League Two 2025-26,32.0,0,30/06/2027,no,2735,61.72,37.04,39.61,91.73,58.21,69.1,0.26,0.37,40.0,3.72,0.36,0.02,0.82,54.29,1.15,0.13,52.95,16.72,0.07,60.82,5.07,3.19,0.03,0.03,100.0,0.0
