Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Passing Att,Creativity Att,Crossing Att,Dribbling Att,Shooting Att,Defending Att,Winger Rating,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Key passes per 90,xA per 90,Deep completions per 90,"Accurate crosses, %",Crosses per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,Non-penalty goals per 90,xG per 90,"Shots on target, %","Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Aerial duels won, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
C. Willock,Cardiff City,Cardiff City,LAMF,"LAMF, LW",England League One 2025-26,28.0,1800000,30/06/2027,no,2377,89.72,100.0,74.12,74.58,60.36,54.82,100.0,4.24,85.71,35.55,83.49,0.91,0.21,1.82,31.36,4.47,55.69,6.32,0.08,0.3,0.15,34.09,70.0,3.86,3.41,11.54,0.98,0.0,0.0,0.0,1.36
A. Cozier-Duberry,Bolton Wanderers,Bolton Wanderers,RAMF,RAMF,England League One 2025-26,20.0,0,30/06/2028,yes,2529,82.36,93.99,70.77,86.71,54.86,56.08,96.16,4.23,77.31,34.66,81.11,1.07,0.18,1.28,37.63,3.31,60.64,6.69,0.43,0.21,0.2,32.47,63.78,4.95,4.52,12.5,0.57,0.04,0.04,0.0,0.04
R. Colwill,Cardiff City,Cardiff City,AMF,"AMF, CF, RCMF",England League One 2025-26,23.0,1200000,30/06/2030,no,2224,93.7,99.12,60.72,58.37,61.76,48.1,93.92,5.5,77.94,38.97,81.31,0.97,0.19,1.74,38.46,2.1,51.47,2.75,0.28,0.24,0.22,36.51,60.0,4.82,4.05,45.59,2.75,0.36,0.32,37.5,0.12
C. Vernam,Grimsby Town,Grimsby Town,LW,LW,England League Two 2025-26,29.0,150000,30/06/2027,no,2774,71.63,86.1,77.48,83.25,65.9,39.28,85.97,4.77,80.95,28.97,75.59,0.75,0.27,1.14,37.3,4.09,63.69,5.81,0.32,0.19,0.27,45.57,62.03,3.73,2.56,36.59,2.66,0.94,0.19,16.67,3.44
O. Tanner,Cardiff City,Cardiff City,RAMF,"RAMF, RWF, RW",England League One 2025-26,23.0,1500000,30/06/2029,no,1781,68.88,91.15,79.68,83.39,33.99,50.47,84.15,5.2,79.61,31.48,69.5,0.86,0.15,1.82,24.79,5.91,68.48,4.65,0.4,0.05,0.19,25.0,60.98,4.95,4.14,46.15,1.97,0.25,0.0,0.0,2.83
J. Payne,Colchester United,Colchester United,AMF,AMF,England League Two 2025-26,31.0,450000,30/06/2026,no,2829,95.56,62.87,58.85,58.66,69.1,49.77,84.08,5.79,78.02,40.08,80.63,0.45,0.14,1.4,38.33,1.91,56.94,2.29,0.16,0.25,0.32,31.88,60.0,4.64,4.61,18.29,2.61,0.54,0.22,14.29,1.3
J. Moylan,Lincoln City,Lincoln City,AMF,AMF,England League One 2025-26,24.0,200000,,no,1762,52.99,92.25,70.22,68.7,100.0,54.6,83.35,4.39,66.28,25.59,69.86,0.92,0.22,1.33,42.31,2.66,52.87,4.44,0.36,0.46,0.36,43.86,61.73,5.62,4.14,30.56,1.84,0.26,0.05,0.0,0.41
X. Amaechi,Plymouth Argyle,Plymouth Argyle,RW,"RW, RAMF, AMF",England League One 2025-26,25.0,500000,,no,1067,73.37,91.7,83.03,71.15,54.94,32.62,83.1,7.0,74.7,28.09,72.67,0.84,0.26,1.27,44.44,3.8,50.65,6.49,0.08,0.25,0.14,35.0,49.02,4.55,4.3,37.5,3.37,1.69,0.17,0.0,1.94
K. Palmer,Luton Town,Luton Town,AMF,"AMF, DMF, RCMF",England League One 2025-26,29.0,1200000,30/06/2027,yes,1139,86.72,61.42,73.14,58.23,77.23,49.16,82.65,5.69,80.56,31.92,81.93,0.55,0.08,1.42,57.14,1.11,55.56,2.13,0.24,0.32,0.27,42.31,49.35,6.32,6.08,34.21,3.0,0.24,0.24,33.33,0.0
M. Miller,Huddersfield Town,Huddersfield Town,LAMF,"LAMF, LB, AMF",England League One 2025-26,30.0,400000,30/06/2026,no,554,72.6,71.24,88.5,80.8,43.9,53.61,82.62,5.85,63.89,32.17,74.75,0.65,0.29,0.49,60.0,2.44,61.29,5.04,0.49,0.0,0.15,60.0,53.13,6.99,5.2,44.83,4.71,0.0,0.0,0.0,1.62
M. Olakigbe,Swindon Town,Swindon Town,RAMF,"RAMF, RWB, LWB",England League Two 2025-26,21.0,600000,30/06/2028,yes,697,58.56,55.57,94.18,99.33,53.2,72.18,82.14,4.0,87.1,25.95,68.66,0.52,0.13,0.9,36.17,6.07,52.7,9.56,0.77,0.13,0.14,54.55,76.67,5.16,3.87,0.0,2.07,0.0,0.0,0.0,0.26
J. Stokes,Stockport County,Stockport County,AMF,"AMF, RCMF, LW",England League One 2025-26,21.0,0,,yes,860,67.36,98.29,58.04,59.93,37.36,71.41,82.07,5.02,66.67,32.76,71.57,1.05,0.16,1.67,32.0,2.62,64.71,1.78,0.0,0.1,0.18,23.53,64.41,6.49,6.17,33.33,2.83,0.0,0.0,0.0,0.0
J. Roles,South Shields,Crawley Town,AMF,"AMF, CF, RCMF",England League Two 2025-26,27.0,125000,30/06/2027,no,623,93.83,86.62,67.29,53.22,22.83,42.03,81.51,6.65,73.91,40.3,77.42,1.01,0.11,1.44,33.33,3.47,52.94,2.46,0.0,0.0,0.12,25.0,59.09,4.62,3.18,26.32,2.74,0.72,0.14,0.0,1.44
L. Mandeville,Chesterfield,Chesterfield,RAMF,"RAMF, AMF, CF",England League Two 2025-26,29.0,0,30/06/2028,no,2536,100.0,52.35,54.77,51.15,45.89,64.77,80.09,6.14,73.41,42.27,82.2,0.35,0.2,0.75,32.79,2.16,56.76,1.31,0.0,0.18,0.12,34.48,67.5,5.96,4.26,24.29,2.48,0.75,0.0,0.0,2.84
R. Glover,Barnet,Barnet,RAMF,"RAMF, AMF, LW",England League Two 2025-26,25.0,0,,no,4004,69.49,74.03,78.96,81.94,40.37,52.72,79.86,5.35,71.43,34.39,68.89,0.72,0.17,1.15,29.87,5.19,61.87,6.25,0.22,0.09,0.17,32.81,62.07,5.96,3.26,45.88,7.64,0.09,0.09,25.0,0.09
D. Markanday,Chesterfield,Chesterfield,RAMF,"RAMF, RW",England League Two 2025-26,24.0,400000,30/06/2028,no,2610,65.93,72.44,64.32,80.92,49.55,66.44,79.81,4.72,75.18,29.83,71.91,0.66,0.19,1.1,30.1,3.55,61.69,5.31,0.41,0.24,0.15,25.0,65.33,6.1,5.17,14.29,1.21,0.1,0.03,0.0,0.76
O. Edwards,Colchester United,Colchester United,LAMF,LAMF,England League Two 2025-26,25.0,200000,30/06/2026,no,1505,72.44,60.62,68.49,90.63,19.41,70.46,78.21,4.6,70.13,30.38,78.74,0.6,0.1,1.14,33.9,3.53,49.57,7.0,1.08,0.06,0.05,18.75,65.56,6.7,5.38,13.64,2.63,0.0,0.0,0.0,0.96
I. Cissoko,Bolton Wanderers,Bolton Wanderers,LAMF,"LAMF, LW",England League One 2025-26,23.0,0,30/06/2027,yes,833,64.09,79.98,83.25,100.0,31.23,33.81,78.1,4.97,73.91,31.33,68.28,1.08,0.12,0.86,26.79,6.05,61.0,10.8,0.11,0.11,0.12,20.0,51.28,4.21,4.21,40.0,2.16,0.32,0.0,0.0,0.54
